dim_time_key,time_hhmm,time_hh_24,time_hh,time_am_pm
170727,1707,17,5,pm
170728,1707,17,5,pm
170729,1707,17,5,pm
170730,1707,17,5,pm
170731,1707,17,5,pm
170732,1707,17,5,pm
170733,1707,17,5,pm
170734,1707,17,5,pm
170735,1707,17,5,pm
170736,1707,17,5,pm
170737,1707,17,5,pm
170738,1707,17,5,pm
170739,1707,17,5,pm
170740,1707,17,5,pm
170741,1707,17,5,pm
170742,1707,17,5,pm
170743,1707,17,5,pm
170744,1707,17,5,pm
170745,1707,17,5,pm
170746,1707,17,5,pm
170747,1707,17,5,pm
170748,1707,17,5,pm
170749,1707,17,5,pm
170750,1707,17,5,pm
170751,1707,17,5,pm
170752,1707,17,5,pm
170753,1707,17,5,pm
170754,1707,17,5,pm
170755,1707,17,5,pm
170756,1707,17,5,pm
170757,1707,17,5,pm
170758,1707,17,5,pm
170759,1707,17,5,pm
170800,1708,17,5,pm
170801,1708,17,5,pm
170802,1708,17,5,pm
170803,1708,17,5,pm
170804,1708,17,5,pm
170805,1708,17,5,pm
170806,1708,17,5,pm
170807,1708,17,5,pm
170808,1708,17,5,pm
170809,1708,17,5,pm
170810,1708,17,5,pm
170811,1708,17,5,pm
170812,1708,17,5,pm
170813,1708,17,5,pm
170814,1708,17,5,pm
170815,1708,17,5,pm
170816,1708,17,5,pm
170817,1708,17,5,pm
170818,1708,17,5,pm
170819,1708,17,5,pm
170820,1708,17,5,pm
170821,1708,17,5,pm
170822,1708,17,5,pm
170823,1708,17,5,pm
170824,1708,17,5,pm
170825,1708,17,5,pm
170826,1708,17,5,pm
170827,1708,17,5,pm
170828,1708,17,5,pm
170829,1708,17,5,pm
170830,1708,17,5,pm
170831,1708,17,5,pm
170832,1708,17,5,pm
170833,1708,17,5,pm
170834,1708,17,5,pm
170835,1708,17,5,pm
170836,1708,17,5,pm
170837,1708,17,5,pm
170838,1708,17,5,pm
170839,1708,17,5,pm
170840,1708,17,5,pm
170841,1708,17,5,pm
170842,1708,17,5,pm
170843,1708,17,5,pm
170844,1708,17,5,pm
170845,1708,17,5,pm
170846,1708,17,5,pm
